Mostpositivewords, where count(word)>=10
worst	0.18181818181818182
terrible	0.20909090909090908
waste	0.2413793103448276
poorly	0.24468085106382978
avoid	0.2608695652173913
zook	0.2653061224489796
worse	0.2653061224489796
mawhorter	0.2777777777777778
horrible	0.28846153846153844
hated	0.3076923076923077
barely	0.3111111111111111
confused	0.3132530120481928
useless	0.31343283582089554
poor	0.3148148148148148
garza	0.3411764705882353
disappointed	0.34285714285714286
sucks	0.34375
unfortunately	0.34532374100719426
vague	0.34782608695652173
lehman	0.35294117647058826
unclear	0.3695652173913043
nobody	0.37037037037037035
mistake	0.37142857142857144
fault	0.37735849056603776
asleep	0.3787878787878788
ok	0.38028169014084506
rarely	0.3867924528301887
spends	0.3902439024390244
boring	0.40620384047267355
halfway	0.4074074074074074
additionally	0.4074074074074074
supposed	0.41304347826086957
specifically	0.41379310344827586
curriculum	0.41379310344827586
stupid	0.41935483870967744
wouldve	0.4230769230769231
tanenbaum	0.42424242424242425
marks	0.425531914893617
condescending	0.42857142857142855
taylor	0.42857142857142855
repeat	0.43478260869565216
describe	0.43478260869565216
ups	0.4411764705882353
explanation	0.4444444444444444
potential	0.4444444444444444
painful	0.44680851063829785
disorganized	0.44881889763779526
frustrated	0.45161290322580644
drop	0.45161290322580644
considered	0.45454545454545453
ago	0.45454545454545453
ridiculous	0.45614035087719296
forced	0.45714285714285713
elsewhere	0.4583333333333333
impression	0.4583333333333333
guess	0.46153846153846156
tas	0.46153846153846156
fell	0.4634146341463415
frustrating	0.4634146341463415
lack	0.4657534246575342
okay	0.4666666666666667
foster	0.46875
confusing	0.46923076923076923
seemed	0.4694835680751174
t	0.47058823529411764
bruce	0.47368421052631576
mechanics	0.47368421052631576
minimal	0.47540983606557374
spoke	0.47619047619047616
lady	0.47619047619047616
summer	0.47619047619047616
happening	0.47619047619047616
intuitive	0.47619047619047616
purpose	0.47619047619047616
cmc	0.4782608695652174
theater	0.4782608695652174
assign	0.4782608695652174
resource	0.4782608695652174
tried	0.4788732394366197
version	0.48
stopped	0.48148148148148145
leaves	0.4827586206896552
sit	0.4827586206896552
sitting	0.4838709677419355
wouldnt	0.48427672955974843
premed	0.48484848484848486
under	0.4864864864864865
unless	0.4875
otherwise	0.4888888888888889
hadnt	0.4897959183673469
understood	0.49206349206349204
attendance	0.49230769230769234
repetitive	0.4927536231884058
didnt	0.49550706033376124
onto	0.5
woman	0.5
hed	0.5
month	0.5
health	0.5
scheduled	0.5
consist	0.5
instructions	0.5
lines	0.5
told	0.5
shame	0.5
kunin	0.5
leaving	0.5
fan	0.5
dead	0.5
trouble	0.5
andrabi	0.5
mixed	0.5
figured	0.5
tested	0.5
treats	0.5
seems	0.5019762845849802
else	0.5058823529411764
bored	0.5074626865671642
irrelevant	0.5087719298245614
favorites	0.5111111111111111
dull	0.5116279069767442
hate	0.5128205128205128
tended	0.5142857142857142
anything	0.5154639175257731
filled	0.5161290322580645
suck	0.5172413793103449
idea	0.5172413793103449
exact	0.5172413793103449
ap	0.5177304964539007
r	0.5185185185185185
picture	0.5185185185185185
waiting	0.5185185185185185
instead	0.5185185185185185
therefore	0.5185185185185185
organization	0.5185185185185185
hopefully	0.5185185185185185
minutes	0.51875
finding	0.52
mistakes	0.52
entirely	0.5206611570247934
harshly	0.5217391304347826
rushed	0.5217391304347826
result	0.5223880597014925
introductory	0.5223880597014925
wasnt	0.5224215246636771
asked	0.5232558139534884
flaherty	0.5238095238095238
program	0.5254237288135594
air	0.5263157894736842
turning	0.5263157894736842
obscure	0.5263157894736842
maybe	0.5266272189349113
lost	0.5285714285714286
majority	0.5285714285714286
middle	0.5319148936170213
care	0.5333333333333333
oh	0.5333333333333333
copy	0.5333333333333333
often	0.5345454545454545
novarro	0.5348837209302325
ultimately	0.5348837209302325
went	0.5355450236966824
uncomfortable	0.5357142857142857
probability	0.5357142857142857
explained	0.5357142857142857
happened	0.5365853658536586
pain	0.5384615384615384
sounds	0.5384615384615384
dropped	0.5384615384615384
nor	0.5384615384615384
physics	0.5384615384615384
bother	0.5416666666666666
anywhere	0.5416666666666666
actual	0.5431034482758621
syllabus	0.5431034482758621
c	0.5434782608695652
lectured	0.5434782608695652
ridiculously	0.5434782608695652
save	0.5454545454545454
pursue	0.5454545454545454
stats	0.5454545454545454
stars	0.5454545454545454
fellow	0.5454545454545454
jump	0.5454545454545454
title	0.5454545454545454
moments	0.5454545454545454
demonstrations	0.5454545454545454
obviously	0.5454545454545454
ancient	0.5454545454545454
context	0.546875
smiley	0.5476190476190477
left	0.5483870967741935
statistical	0.5483870967741935
schedule	0.5492957746478874
did	0.5497685185185185
touched	0.55
speed	0.55
tendency	0.55
m	0.5517241379310345
solutions	0.5517241379310345
joke	0.5526315789473685
teach	0.5531914893617021
pre	0.5540540540540541
respond	0.5555555555555556
computational	0.5555555555555556
mess	0.5555555555555556
consistently	0.5555555555555556
intuition	0.5555555555555556
called	0.5555555555555556
rid	0.5555555555555556
davis	0.5555555555555556
mentors	0.5555555555555556
random	0.5555555555555556
kwok	0.5588235294117647
decent	0.5594405594405595
scattered	0.56
med	0.56
normal	0.56
text	0.5606060606060606
example	0.5612244897959183
statistics	0.5617977528089888
skip	0.5625
positive	0.5625
name	0.5625
kim	0.5625
tedious	0.5634920634920635
straight	0.5636363636363636
wanted	0.563953488372093
werent	0.5641025641025641
received	0.5641025641025641
prep	0.5652173913043478
options	0.5652173913043478
interpretations	0.5652173913043478
explanations	0.5660377358490566
classical	0.5666666666666667
bad	0.5686274509803921
listening	0.5692307692307692
spent	0.5695067264573991
